InstrumentID,UpdateTime,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1,OpenInterest,Turnover
cu1804,10:33:18.0,51570,165402,51560,29,51570,275,236492,42963.1
cu1804,10:33:19.0,51570,165510,51560,38,51570,222,236440,42991
cu1804,10:33:19.500,51560,165796,51560,44,51570,85,236240,43064.7
cu1804,10:33:20.0,51570,165978,51570,38,51580,34,236208,43111.6
cu1804,10:33:20.500,51580,166010,51570,38,51580,34,236218,43119.9
cu1804,10:33:21.0,51570,166062,51570,16,51580,24,236216,43133.3
cu1804,10:33:21.500,51580,166118,51570,20,51580,108,236230,43147.7
cu1804,10:33:22.0,51570,166130,51570,15,51580,110,236226,43150.8
cu1804,10:33:23.0,51560,166180,51560,22,51570,4,236222,43163.7
cu1804,10:33:23.500,51580,166204,51570,1,51580,108,236214,43169.9
